key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,duration_seconds
17669,7639,10067,0,0,4787134,,,,,,1506.521469108
17669,8862,8852,0,0,4575636,,,,,,1445.649502678
17669,8325,9365,0,4,9006376,,,,,,2907.462084015
17669,7798,9892,0,0,3010606,,,,,,1005.480113724
17669,8732,9008,7,0,2316080,,,,,,717.320038826
17669,8780,9038,0,0,11451602,,,,,,3687.791806372
17669,9594,8094,0,0,7338458,,,,,,2324.996416288
17669,7743,9994,0,3,3706792,,,,,,1281.76220984
17669,8781,8959,0,0,12298358,,,,,,3927.19690077
17669,9223,8527,0,0,23389836,,,,,,7460.823033365
17669,8835,9034,0,0,4175852,,,,,,1368.98140224
17669,8943,8882,0,0,4945590,,,,,,1585.093021492
17669,7656,10025,0,0,4089656,,,,,,1286.361656407
17669,9461,8272,0,2,7704600,,,,,,2531.386855903
17669,9057,8625,0,0,3338544,,,,,,1095.611656053
17669,8368,9566,0,0,3932168,,,,,,1253.687037615
17669,9103,8575,0,0,10526056,,,,,,3426.529631375
17669,8351,9331,0,1,5629288,,,,,,1806.844427191
17669,9415,8280,4,0,11328100,,,,,,3567.160263797
17669,8398,9287,0,0,10013638,,,,,,3270.424290706
17669,9203,8535,0,0,2733238,,,,,,869.958861617
17669,9015,8701,2,0,5820958,,,,,,1882.560151442
17669,8425,9249,0,0,2802610,,,,,,833.6773439
17669,9211,8465,0,0,29375112,,,,,,9378.152132571
17669,9971,7706,2,0,10695186,,,,,,3355.355159788
17669,9109,8594,0,0,8397594,,,,,,2659.620972636
17669,8929,8758,0,2,2899594,,,,,,915.155025691
17669,8384,9328,0,0,3942596,,,,,,1252.674552212
17669,8016,9759,0,0,8817930,,,,,,2841.840919636
17669,8067,9613,0,0,2528240,,,,,,801.426579906
17669,9272,8407,0,0,8027922,,,,,,2514.139546158
17669,9863,8174,0,0,3400896,,,,,,1083.821789287
17669,8845,9078,0,0,3197982,,,,,,1036.539630233
17669,9320,8362,0,0,6294774,,,,,,2100.631300633
17669,10463,7212,0,0,3350896,,,,,,996.467178661
17669,9415,8287,0,0,5637512,,,,,,1801.848343482
17669,8924,8827,0,0,2723548,,,,,,883.924405997
